Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
"SSgA Funds Management, Inc.",5.55%,"53,121,080","476,496,088","-299,040",-0.56%,RF
BlackRock Fund Advisors,5.13%,"49,101,148","440,437,298","-75,290",-0.15%,RF
LSV Asset Management,2.62%,"25,095,053","225,102,625","-467,828",-1.83%,RF
Geode Capital Management LLC,1.76%,"16,825,639","150,925,982","+168,570",+1.01%,RF
"Wells Capital Management, Inc.",1.46%,"14,012,512","125,692,233","+1,598,547",+12.88%,RF
Dimensional Fund Advisors LP,1.45%,"13,920,360","124,865,629","-268,682",-1.89%,RF
"Boston Partners Global Investors,...",1.42%,"13,609,080","122,073,448","+517,604",+3.95%,RF
"Northern Trust Investments, Inc.(...",1.34%,"12,860,915","115,362,408","+602,253",+4.91%,RF
Columbia Management Investment Ad...,1.19%,"11,367,798","101,969,148","+326,341",+2.96%,RF
Cascade Investment LLC,34.09%,"108,802,519","8,166,717,076",0,0.00%,RSG
"The Vanguard Group, Inc.",5.84%,"18,631,564","1,398,485,194","+134,730",+0.73%,RSG
BlackRock Fund Advisors,5.65%,"18,027,525","1,353,146,027","+432,837",+2.46%,RSG
"SSgA Funds Management, Inc.",3.39%,"10,827,082","812,680,775","+50,532",+0.47%,RSG
"Wells Capital Management, Inc.",1.44%,"4,581,473","343,885,363","-160,151",-3.38%,RSG
"UBS Financial Services, Inc.",1.38%,"4,406,181","330,727,946","-19,464",-0.44%,RSG
Dimensional Fund Advisors LP,1.33%,"4,254,283","319,326,482","+24,994",+0.59%,RSG
American Century Investment Manag...,1.23%,"3,908,539","293,374,937","-540,151",-12.14%,RSG
Geode Capital Management LLC,1.22%,"3,898,677","292,634,696","+77,600",+2.03%,RSG
"Invesco Advisers, Inc.",1.09%,"3,474,497","260,795,745","-893,450",-20.45%,RSG
"The Vanguard Group, Inc.",10.74%,"15,536,794","2,288,414,388","+101,342",+0.66%,RMD
BlackRock Fund Advisors,5.72%,"8,272,037","1,218,388,330","+201,773",+2.50%,RMD
WCM Investment Management LLC,5.39%,"7,800,750","1,148,972,468","+133,986",+1.75%,RMD
"SSgA Funds Management, Inc.",4.45%,"6,438,687","948,354,208","+38,652",+0.60%,RMD
Capital Research & Management Co....,3.99%,"5,768,618","849,659,745","+2,044",+0.04%,RMD
Fidelity Management & Research Co...,3.87%,"5,591,245","823,534,476","-105,414",-1.85%,RMD
Baillie Gifford & Co.,3.15%,"4,558,736","671,456,225","-185,122",-3.90%,RMD
Geode Capital Management LLC,1.68%,"2,428,715","357,725,432","+157,252",+6.92%,RMD
"Northern Trust Investments, Inc.(...",1.41%,"2,044,765","301,173,437","+35,037",+1.74%,RMD
"Invesco Advisers, Inc.",1.03%,"1,485,738","218,834,350","-9,214",-0.62%,RMD
"The Vanguard Group, Inc.",12.05%,"13,865,963","523,440,103","-384,395",-2.70%,RHI
BlackRock Fund Advisors,6.31%,"7,267,640","274,353,410","+85,884",+1.20%,RHI
Managed Account Advisors LLC,5.97%,"6,871,778","259,409,620","+1,682,381",+32.42%,RHI
"SSgA Funds Management, Inc.",4.52%,"5,201,468","196,355,417","-30,461",-0.58%,RHI
AQR Capital Management LLC,4.38%,"5,044,778","190,440,370","-761,773",-13.12%,RHI
Swedbank Robur Fonder AB,2.38%,"2,740,145","103,440,474","+634,643",+30.14%,RHI
Geode Capital Management LLC,2.22%,"2,560,144","96,645,436","+45,756",+1.82%,RHI
"Merrill Lynch, Pierce, Fenner & S...",2.13%,"2,458,064","92,791,916","+490,747",+24.94%,RHI
"Boston Partners Global Investors,...",2.08%,"2,394,007","90,373,764","-620,306",-20.58%,RHI
Mellon Investments Corp.,1.70%,"1,955,049","73,803,100","-33,584",-1.69%,RHI
"The Vanguard Group, Inc.",9.16%,"10,638,346","1,605,432,795","-74,622",-0.70%,ROK
BlackRock Fund Advisors,5.59%,"6,495,165","980,185,350","+102,717",+1.61%,ROK
"SSgA Funds Management, Inc.",4.24%,"4,921,470","742,699,038","+7,886",+0.16%,ROK
"UBS Financial Services, Inc.",3.54%,"4,114,476","620,915,573","+129,877",+3.26%,ROK
Alecta Pension Insurance Mutual,2.67%,"3,098,265","467,559,171","-145,000",-4.47%,ROK
Geode Capital Management LLC,1.79%,"2,081,103","314,059,254","+104,910",+5.31%,ROK
"JPMorgan Investment Management, I...",1.38%,"1,599,502","241,380,847","+494,722",+44.78%,ROK
"Northern Trust Investments, Inc.(...",1.22%,"1,418,779","214,107,939","-9,078",-0.64%,ROK
Lazard Asset Management LLC,1.15%,"1,336,570","201,701,779","-37,089",-2.70%,ROK
Mellon Investments Corp.,1.09%,"1,270,583","191,743,681","-76,511",-5.68%,ROK
"The Vanguard Group, Inc.",5.62%,"18,421,514","665,753,516","+28,585",+0.16%,ROL
"T. Rowe Price Associates, Inc. (I...",4.00%,"13,114,361","473,953,007","-182,462",-1.37%,ROL
BlackRock Fund Advisors,2.42%,"7,928,649","286,541,375","+151,843",+1.95%,ROL
APG Asset Management NV,2.13%,"6,990,514","252,637,176","+2,941,800",+72.66%,ROL
"SSgA Funds Management, Inc.",2.12%,"6,936,428","250,682,508","-130,845",-1.85%,ROL
Morgan Stanley Investment Managem...,1.80%,"5,895,885","213,077,284","-6,529,574",-52.55%,ROL
Neuberger Berman Investment Advis...,1.42%,"4,644,101","167,837,810","-273,853",-5.57%,ROL
Gabelli Funds LLC,0.90%,"2,957,250","106,875,015","-152,000",-4.89%,ROL
"GAMCO Asset Management, Inc.",0.73%,"2,396,213","86,599,138","-43,346",-1.78%,ROL
Geode Capital Management LLC,0.73%,"2,389,663","86,362,421","+97,499",+4.25%,ROL
"T. Rowe Price Associates, Inc. (I...",14.64%,"15,537,130","4,844,632,505","+114,990",+0.75%,ROP
"The Vanguard Group, Inc.",8.17%,"8,667,844","2,702,720,438",+114,+0.00%,ROP
"Franklin Advisers, Inc.",4.41%,"4,684,011","1,460,521,470","-20,259",-0.43%,ROP
BlackRock Fund Advisors,4.27%,"4,535,527","1,414,222,674","-242,145",-5.07%,ROP
"SSgA Funds Management, Inc.",4.10%,"4,347,223","1,355,507,604","+61,504",+1.44%,ROP
Massachusetts Financial Services ...,2.00%,"2,123,689","662,187,467","+134,374",+6.75%,ROP
Fidelity Management & Research Co...,1.77%,"1,879,610","586,081,194","-9,584",-0.51%,ROP
Geode Capital Management LLC,1.59%,"1,685,380","525,518,338","+1,494",+0.09%,ROP
Akre Capital Management LLC,1.48%,"1,567,132","488,647,429",-70,-0.00%,ROP
Brown Advisory LLC,1.46%,"1,546,413","482,187,038","+41,631",+2.77%,ROP
"The Vanguard Group, Inc.",8.49%,"30,468,612","2,649,855,186","-18,940",-0.06%,ROST
Fidelity Management & Research Co...,5.77%,"20,690,456","1,799,448,958","-12,155",-0.06%,ROST
"T. Rowe Price Associates, Inc. (I...",5.76%,"20,668,173","1,797,511,006","-1,945,993",-8.61%,ROST
BlackRock Fund Advisors,5.01%,"17,972,407","1,563,060,237","-867,872",-4.61%,ROST
"SSgA Funds Management, Inc.",4.73%,"16,976,114","1,476,412,635","-285,740",-1.66%,ROST
PRIMECAP Management Co.,3.17%,"11,366,819","988,572,248","-27,000",-0.24%,ROST
Capital Research & Management Co....,2.88%,"10,332,044","898,577,867","+5,667",+0.05%,ROST
"JPMorgan Investment Management, I...",1.96%,"7,042,772","612,509,881","-1,215,428",-14.72%,ROST
Massachusetts Financial Services ...,1.67%,"5,978,518","519,951,710","-249,918",-4.01%,ROST
Geode Capital Management LLC,1.43%,"5,130,681","446,215,327","+136,380",+2.73%,ROST
"The Vanguard Group, Inc.",8.75%,"18,281,850","588,127,115","+97,594",+0.54%,RCL
PRIMECAP Management Co.,4.41%,"9,213,711","296,405,083","-257,600",-2.72%,RCL
Capital Research & Management Co....,4.10%,"8,565,820","275,562,429","+5,256,795",+158.86%,RCL
BlackRock Fund Advisors,3.98%,"8,324,053","267,784,785","-28,720",-0.34%,RCL
Canada Pension Plan Investment Bo...,3.88%,"8,102,492","260,657,168","+5,036,243",+164.25%,RCL
"SSgA Funds Management, Inc.",3.64%,"7,601,737","244,547,879","+74,332",+0.99%,RCL
"T. Rowe Price Associates, Inc. (I...",2.48%,"5,190,074","166,964,681","+1,268,934",+32.36%,RCL
Fidelity Management & Research Co...,1.97%,"4,108,774","132,179,260","-257,543",-5.90%,RCL
"Invesco Advisers, Inc.",1.60%,"3,347,699","107,695,477","+97,272",+2.99%,RCL
"JPMorgan Investment Management, I...",1.57%,"3,284,483","105,661,818","-1,377,674",-29.55%,RCL
"The Vanguard Group, Inc.",8.63%,"20,763,177","5,088,016,524","+19,988",+0.10%,SPGI
BlackRock Fund Advisors,4.89%,"11,779,983","2,886,684,834","+1,058,045",+9.87%,SPGI
"SSgA Funds Management, Inc.",4.85%,"11,667,297","2,859,071,130","-165,436",-1.40%,SPGI
"T. Rowe Price Associates, Inc. (I...",2.73%,"6,569,319","1,609,811,621","-697,685",-9.60%,SPGI
Edgewood Management LLC,2.43%,"5,843,393","1,431,923,455","-9,099",-0.16%,SPGI
Fidelity Management & Research Co...,1.96%,"4,721,227","1,156,936,676","-416,436",-8.11%,SPGI
"Invesco Advisers, Inc.",1.79%,"4,299,216","1,053,522,881","-215,563",-4.77%,SPGI
Geode Capital Management LLC,1.42%,"3,427,571","839,926,274","+201,084",+6.23%,SPGI
Jennison Associates LLC,1.32%,"3,167,429","776,178,476","-499,823",-13.63%,SPGI
"Northern Trust Investments, Inc.(...",1.26%,"3,026,823","741,722,976","-45,492",-1.48%,SPGI
Fidelity Management & Research Co...,9.99%,"89,393,471","12,870,871,955","-2,843,346",-3.08%,CRM
"The Vanguard Group, Inc.",7.44%,"66,581,498","9,586,404,082","+803,031",+1.22%,CRM
"T. Rowe Price Associates, Inc. (I...",5.10%,"45,608,407","6,566,698,440","+1,737,291",+3.96%,CRM
BlackRock Fund Advisors,4.51%,"40,362,253","5,811,357,187","-247,001",-0.61%,CRM
"SSgA Funds Management, Inc.",3.96%,"35,429,991","5,101,210,104","+762,963",+2.20%,CRM
Jennison Associates LLC,2.16%,"19,306,653","2,779,771,899","-1,705,909",-8.12%,CRM
Janus Capital Management LLC,1.47%,"13,168,552","1,896,008,117","-1,177,385",-8.21%,CRM
"Northern Trust Investments, Inc.(...",1.33%,"11,930,945","1,717,817,461","+130,987",+1.11%,CRM
Geode Capital Management LLC,1.33%,"11,875,146","1,709,783,521","+339,641",+2.94%,CRM
TIAA-CREF Investment Management L...,1.23%,"10,966,658","1,578,979,419","-233,944",-2.09%,CRM
"The Vanguard Group, Inc.",16.38%,"18,336,752","4,950,372,937","+21,698",+0.12%,SBAC
BlackRock Fund Advisors,6.12%,"6,846,846","1,848,443,015","-189,569",-2.69%,SBAC
"SSgA Funds Management, Inc.",4.57%,"5,115,596","1,381,057,452","+298,236",+6.19%,SBAC
Principal Global Investors LLC,2.65%,"2,959,988","799,107,960","-174,588",-5.57%,SBAC
Brown Advisory LLC,2.61%,"2,915,584","787,120,212","+68,764",+2.42%,SBAC
Cohen & Steers Capital Management...,2.57%,"2,879,919","777,491,732","-1,337,044",-31.71%,SBAC
Akre Capital Management LLC,2.20%,"2,465,000","665,476,050",0,0.00%,SBAC
Canada Pension Plan Investment Bo...,2.06%,"2,302,977","621,734,701","+31,506",+1.39%,SBAC
Capital Research & Management Co....,2.03%,"2,268,343","612,384,560",+489,+0.02%,SBAC
American Century Investment Manag...,1.75%,"1,955,145","527,830,496","-90,278",-4.41%,SBAC
"The Vanguard Group, Inc.",8.05%,"111,712,066","1,506,995,770","+680,945",+0.61%,SLB
"SSgA Funds Management, Inc.",4.85%,"67,271,012","907,485,952","+305,737",+0.46%,SLB
BlackRock Fund Advisors,4.53%,"62,927,835","848,896,494","+245,601",+0.39%,SLB
Capital Research & Management Co....,4.25%,"59,017,143","796,141,259","+5,337,121",+9.94%,SLB
Dodge & Cox,4.18%,"57,985,098","782,218,972","-1,083,882",-1.83%,SLB
First Eagle Investment Management...,2.20%,"30,491,635","411,332,156","+2,017,669",+7.09%,SLB
Capital Research & Management Co....,1.73%,"23,963,739","323,270,839","+5,098,492",+27.03%,SLB
"Franklin Advisers, Inc.",1.50%,"20,812,164","280,756,092","+7,963",+0.04%,SLB
"Loomis, Sayles & Co. LP",1.42%,"19,730,634","266,166,253","+3,892,503",+24.58%,SLB
Geode Capital Management LLC,1.38%,"19,218,834","259,262,071","+666,783",+3.59%,SLB
ValueAct Capital Management LP,12.09%,"31,554,360","1,539,852,768",0,0.00%,STX
"The Vanguard Group, Inc.",10.80%,"28,188,213","1,375,584,794","-243,011",-0.85%,STX
Fidelity Management & Research Co...,8.42%,"21,973,070","1,072,285,816","-701,711",-3.09%,STX
ClearBridge Investments LLC,6.85%,"17,884,394","872,758,427","-3,625,220",-16.85%,STX
BlackRock Fund Advisors,5.21%,"13,584,998","662,947,902","-169,992",-1.24%,STX
"SSgA Funds Management, Inc.",4.04%,"10,551,343","514,905,538","+102,840",+0.98%,STX
Renaissance Technologies LLC,2.58%,"6,731,871","328,515,305","+2,494,526",+58.87%,STX
LSV Asset Management,2.13%,"5,567,465","271,692,292","+119,536",+2.19%,STX
Geode Capital Management LLC,1.31%,"3,409,878","166,402,046","-54,454",-1.57%,STX
"Northern Trust Investments, Inc.(...",1.00%,"2,602,805","127,016,884","-263,665",-9.20%,STX
"The Vanguard Group, Inc.",11.95%,"18,485,780","456,783,624","-340,790",-1.81%,SEE
"T. Rowe Price Associates, Inc. (I...",8.52%,"13,184,753","325,795,247","+2,037,073",+18.27%,SEE
Janus Capital Management LLC,5.31%,"8,210,083","202,871,151","-264,582",-3.12%,SEE
BlackRock Fund Advisors,5.15%,"7,959,724","196,684,780","-255,590",-3.11%,SEE
Rivulet Capital LLC,5.03%,"7,779,843","192,239,921","+3,135,950",+67.53%,SEE
"SSgA Funds Management, Inc.",4.44%,"6,868,911","169,730,791","-191,247",-2.71%,SEE
Marshall Wace North America LP,4.24%,"6,562,867","162,168,444","+49,675",+0.76%,SEE
Kensico Capital Management Corp.,4.08%,"6,313,500","156,006,585","+158,500",+2.58%,SEE
"Wells Capital Management, Inc.",1.99%,"3,079,813","76,102,179","-447,494",-12.69%,SEE
Nitorum Capital LP,1.80%,"2,781,256","68,724,836","-3,434",-0.12%,SEE
"T. Rowe Price Associates, Inc. (I...",10.00%,"29,230,847","3,302,793,403","-2,026,382",-6.48%,SRE
"The Vanguard Group, Inc.",8.11%,"23,706,310","2,678,575,967","+834,622",+3.65%,SRE
BlackRock Fund Advisors,5.62%,"16,435,208","1,857,014,152","+1,032,315",+6.70%,SRE
"SSgA Funds Management, Inc.",5.29%,"15,454,977","1,746,257,851","+923,041",+6.35%,SRE
Capital Research & Management Co....,4.82%,"14,096,290","1,592,739,807","-375,486",-2.59%,SRE
Wellington Management Co. LLP,3.08%,"9,002,303","1,017,170,216","-2,120,359",-19.06%,SRE
Newport Trust Co.,2.94%,"8,596,885","971,362,036","-192,740",-2.19%,SRE
Norges Bank Investment Management,2.09%,"6,103,580","689,643,504","+66,001",+1.09%,SRE
"Franklin Advisers, Inc.",1.96%,"5,728,518","647,265,249","-1,093,982",-16.03%,SRE
Fidelity Management & Research Co...,1.77%,"5,170,170","584,177,508","+218,138",+4.41%,SRE
"T. Rowe Price Associates, Inc. (I...",9.59%,"18,204,867","5,217,150,785","+4,751,705",+35.32%,NOW
"The Vanguard Group, Inc.",7.78%,"14,762,592","4,230,663,615","+3,414,613",+30.09%,NOW
BlackRock Fund Advisors,4.75%,"9,008,602","2,581,685,161","+1,453,580",+19.24%,NOW
"SSgA Funds Management, Inc.",4.05%,"7,679,487","2,200,787,384","+3,585,605",+87.58%,NOW
Morgan Stanley Investment Managem...,3.07%,"5,830,941","1,671,031,072","-710,431",-10.86%,NOW
Capital Research & Management Co....,2.71%,"5,146,137","1,474,779,941","-2,414,625",-31.94%,NOW
Sands Capital Management LLC,2.63%,"4,997,969","1,432,317,956","-228,567",-4.37%,NOW
Capital Research & Management Co....,2.53%,"4,806,420","1,377,423,844","+1,598,859",+49.85%,NOW
Capital Research & Management Co....,2.01%,"3,823,003","1,095,596,200","-2,660,847",-41.04%,NOW
Wellington Management Co. LLP,1.96%,"3,717,637","1,065,400,411","-441,921",-10.62%,NOW
"The Vanguard Group, Inc.",7.80%,"7,163,942","3,291,974,628","+62,421",+0.88%,SHW
BlackRock Fund Advisors,4.32%,"3,962,531","1,820,862,245","+339,709",+9.38%,SHW
Massachusetts Financial Services ...,3.98%,"3,653,154","1,678,697,326","-16,085",-0.44%,SHW
Capital Research & Management Co....,3.95%,"3,624,437","1,665,501,290","-421,084",-10.41%,SHW
"SSgA Funds Management, Inc.",3.88%,"3,559,702","1,635,754,263","-89,192",-2.44%,SHW
Fidelity Management & Research Co...,3.47%,"3,182,359","1,462,357,608","+210,946",+7.10%,SHW
Fiera Capital Corp. (Investment M...,1.75%,"1,601,683","736,005,372","+72,959",+4.77%,SHW
Geode Capital Management LLC,1.23%,"1,128,419","518,531,099","+72,432",+6.86%,SHW
"T. Rowe Price Associates, Inc. (I...",1.15%,"1,058,188","486,258,550","-104,892",-9.02%,SHW
AllianceBernstein LP,1.14%,"1,044,987","480,192,426","-155,321",-12.94%,SHW
"The Vanguard Group, Inc.",12.94%,"39,712,149","2,178,608,494","-18,309",-0.05%,SPG
"SSgA Funds Management, Inc.",6.65%,"20,395,295","1,118,885,884","-1,665,698",-7.55%,SPG
BlackRock Fund Advisors,6.63%,"20,339,636","1,115,832,431","-234,274",-1.14%,SPG
Capital Research & Management Co....,6.42%,"19,711,586","1,081,377,608","-693,454",-3.40%,SPG
Capital Research & Management Co....,3.20%,"9,808,787","538,110,055","+503,606",+5.41%,SPG
Cohen & Steers Capital Management...,2.63%,"8,057,155","442,015,523","+1,542,349",+23.67%,SPG
Wellington Management Co. LLP,2.20%,"6,750,535","370,334,350","-255,438",-3.65%,SPG
Geode Capital Management LLC,2.07%,"6,355,833","348,680,998","+172,781",+2.79%,SPG
"APG Asset Management US, Inc.",1.98%,"6,065,500","332,753,330","-334,500",-5.23%,SPG
"Northern Trust Investments, Inc.(...",1.90%,"5,827,976","319,722,763","-212,977",-3.53%,SPG
"The Vanguard Group, Inc.",10.98%,"18,624,467","1,664,654,860","-56,799",-0.30%,SWKS
BlackRock Fund Advisors,5.52%,"9,351,463","835,833,763","+66,134",+0.71%,SWKS
"SSgA Funds Management, Inc.",4.74%,"8,028,543","717,591,173","+147,186",+1.87%,SWKS
Vulcan Value Partners LLC,3.97%,"6,736,585","602,115,967","-2,462,050",-26.77%,SWKS
"T. Rowe Price Associates, Inc. (I...",3.89%,"6,596,182","589,566,747","+882,083",+15.44%,SWKS
Lazard Asset Management LLC,3.28%,"5,553,944","496,411,515","-665,430",-10.70%,SWKS
Fidelity Management & Research Co...,2.25%,"3,819,613","341,397,010","-1,159,684",-23.29%,SWKS
Capital Research & Management Co....,2.09%,"3,544,056","316,767,725","-2,222,062",-38.54%,SWKS
AQR Capital Management LLC,1.83%,"3,109,765","277,950,796","-686,444",-18.08%,SWKS
Geode Capital Management LLC,1.69%,"2,865,587","256,126,166","+154,766",+5.71%,SWKS
"The Vanguard Group, Inc.",17.20%,"13,404,066","577,715,245","-193,404",-1.42%,SLG
"T. Rowe Price Associates, Inc. (I...",8.81%,"6,867,680","295,997,008","+330,443",+5.05%,SLG
"SSgA Funds Management, Inc.",7.57%,"5,896,990","254,160,269","-418,124",-6.62%,SLG
BlackRock Fund Advisors,7.25%,"5,652,901","243,640,033","-92,194",-1.60%,SLG
Morgan Stanley Investment Managem...,5.18%,"4,033,087","173,826,050","+6,954",+0.17%,SLG
Fidelity Management & Research Co...,4.08%,"3,180,871","137,095,540","+131,962",+4.33%,SLG
Invesco Capital Management LLC,3.32%,"2,583,744","111,359,366","-198,093",-7.12%,SLG
Renaissance Technologies LLC,2.29%,"1,785,750","76,965,825","+200,000",+12.61%,SLG
Geode Capital Management LLC,2.09%,"1,629,880","70,247,828","+49,641",+3.14%,SLG
"Northern Trust Investments, Inc.(...",1.89%,"1,474,635","63,556,769","+175,134",+13.48%,SLG
"The Vanguard Group, Inc.",11.21%,"6,131,164","667,193,266","+18,944",+0.31%,SNA
BlackRock Fund Advisors,5.45%,"2,979,110","324,186,750","+37,742",+1.28%,SNA
Managed Account Advisors LLC,5.08%,"2,776,957","302,188,461","+304,433",+12.31%,SNA
"SSgA Funds Management, Inc.",4.60%,"2,514,275","273,603,406","+17,507",+0.70%,SNA
"JPMorgan Investment Management, I...",3.19%,"1,741,990","189,563,352","-56,653",-3.15%,SNA
"T. Rowe Price Associates, Inc. (I...",2.25%,"1,228,171","133,649,568","+80,937",+7.05%,SNA
The Caisse de d�p�t et placement ...,1.91%,"1,045,138","113,731,917","+49,532",+4.98%,SNA
"Merrill Lynch, Pierce, Fenner & S...",1.85%,"1,012,547","110,185,365","+116,359",+12.98%,SNA
Cooke & Bieler LP,1.84%,"1,005,161","109,381,620","+320,432",+46.80%,SNA
Geode Capital Management LLC,1.83%,"1,002,833","109,128,287","+22,478",+2.29%,SNA
"The Vanguard Group, Inc.",8.40%,"88,542,728","4,793,703,294","-281,822",-0.32%,SO
BlackRock Fund Advisors,5.66%,"59,711,037","3,232,755,543","+5,541,808",+10.23%,SO
"SSgA Funds Management, Inc.",5.43%,"57,215,014","3,097,620,858","+2,944,110",+5.42%,SO
"T. Rowe Price Associates, Inc. (I...",3.30%,"34,757,186","1,881,754,050","-989,802",-2.77%,SO
"Franklin Advisers, Inc.",2.50%,"26,375,378","1,427,962,965","-3,440,861",-11.54%,SO
Massachusetts Financial Services ...,2.47%,"26,003,266","1,407,816,821","+898,413",+3.58%,SO
Geode Capital Management LLC,1.44%,"15,184,449","822,086,069","+310,440",+2.09%,SO
"Northern Trust Investments, Inc.(...",1.19%,"12,537,661","678,788,967","+85,790",+0.69%,SO
Fidelity Management & Research Co...,0.88%,"9,287,756","502,839,110","-946,421",-9.25%,SO
The California Public Employees R...,0.78%,"8,262,196","447,315,291","+26,412",+0.32%,SO
PRIMECAP Management Co.,13.89%,"71,858,480","2,558,880,473","-230,700",-0.32%,LUV
"Berkshire Hathaway, Inc. (Investm...",9.92%,"51,334,964","1,828,038,068","-2,314,249",-4.31%,LUV
"SSgA Funds Management, Inc.",7.49%,"38,729,343","1,379,151,904","-939,420",-2.37%,LUV
"The Vanguard Group, Inc.",6.73%,"34,800,860","1,239,258,625","-415,549",-1.18%,LUV
BlackRock Fund Advisors,3.91%,"20,210,559","719,698,006","+95,301",+0.47%,LUV
"Boston Partners Global Investors,...",1.86%,"9,623,976","342,709,785","+258,793",+2.76%,LUV
Columbia Management Investment Ad...,1.40%,"7,224,482","257,263,804","+139,524",+1.97%,LUV
Harris Associates LP,1.36%,"7,054,643","251,215,837","+190,331",+2.77%,LUV
"T. Rowe Price Associates, Inc. (I...",1.34%,"6,942,922","247,237,452","-469,498",-6.33%,LUV
Geode Capital Management LLC,1.30%,"6,724,867","239,472,514","-45,389",-0.67%,LUV
"The Vanguard Group, Inc.",8.10%,"12,472,638","1,247,263,800","+106,683",+0.86%,SWK
Massachusetts Financial Services ...,4.85%,"7,474,339","747,433,900","-80,801",-1.07%,SWK
"SSgA Funds Management, Inc.",4.68%,"7,208,575","720,857,500","+128,042",+1.81%,SWK
BlackRock Fund Advisors,4.60%,"7,090,468","709,046,800","+115,429",+1.65%,SWK
Capital Research & Management Co....,4.47%,"6,883,982","688,398,200","+1,687",+0.02%,SWK
"JPMorgan Investment Management, I...",3.14%,"4,828,702","482,870,200","-1,632,163",-25.26%,SWK
"Wells Fargo Bank, NA (Private Ban...",2.53%,"3,890,063","389,006,300","+46,646",+1.21%,SWK
Citadel Advisors LLC,1.95%,"3,007,670","300,767,000","+1,560,657",+107.85%,SWK
Geode Capital Management LLC,1.52%,"2,337,088","233,708,800","+74,669",+3.30%,SWK
Pzena Investment Management LLC,1.47%,"2,268,580","226,858,000","+17,925",+0.80%,SWK
"The Vanguard Group, Inc.",7.43%,"87,165,925","5,730,287,910","-885,846",-1.01%,SBUX
BlackRock Fund Advisors,4.83%,"56,630,825","3,722,910,436","-1,016,587",-1.76%,SBUX
"SSgA Funds Management, Inc.",4.44%,"52,101,678","3,425,164,312","-169,439",-0.32%,SBUX
Magellan Asset Management Ltd.,2.73%,"32,036,678","2,106,091,212","+3,553,788",+12.48%,SBUX
"Northern Trust Investments, Inc.(...",1.68%,"19,695,748","1,294,798,474","-185,917",-0.94%,SBUX
Geode Capital Management LLC,1.59%,"18,603,871","1,223,018,480","+161,755",+0.88%,SBUX
Fidelity Management & Research Co...,1.26%,"14,762,048","970,457,036","-72,943",-0.49%,SBUX
Norges Bank Investment Management,1.06%,"12,423,105","816,694,923","-113,663",-0.91%,SBUX
"Loomis, Sayles & Co. LP",1.00%,"11,720,079","770,477,993","-3,019,718",-20.49%,SBUX
Walter Scott & Partners Ltd.,0.92%,"10,736,645","705,827,042","+102,434",+0.96%,SBUX
"The Vanguard Group, Inc.",7.82%,"27,717,446","1,476,508,348","-414,355",-1.47%,STT
Massachusetts Financial Services ...,6.70%,"23,734,796","1,264,352,583","-4,528,783",-16.02%,STT
"T. Rowe Price Associates, Inc. (I...",6.67%,"23,626,955","1,258,607,893","+8,851,158",+59.90%,STT
Longview Partners LLP,5.46%,"19,337,044","1,030,084,334","-1,101,511",-5.39%,STT
"SSgA Funds Management, Inc.",5.01%,"17,768,794","946,543,656","-198,852",-1.11%,STT
BlackRock Fund Advisors,4.98%,"17,657,419","940,610,710","-274,876",-1.53%,STT
Fidelity Management & Research Co...,3.91%,"13,851,899","737,890,660","-2,055,299",-12.92%,STT
Capital Research & Management Co....,2.17%,"7,696,721","410,004,328","-1,163,706",-13.13%,STT
Harris Associates LP,2.11%,"7,491,642","399,079,769","-404,952",-5.13%,STT
Geode Capital Management LLC,1.73%,"6,143,323","327,254,816","+484,788",+8.57%,STT
"The Vanguard Group, Inc.",10.88%,"9,224,998","1,291,222,970","+1,296,395",+16.35%,STE
Janus Capital Management LLC,6.38%,"5,408,633","757,046,361","-513,806",-8.68%,STE
BlackRock Fund Advisors,5.63%,"4,774,639","668,306,221","-2,823,394",-37.16%,STE
"SSgA Funds Management, Inc.",4.23%,"3,587,820","502,187,165","+774,516",+27.53%,STE
Wellington Management Co. LLP,2.98%,"2,527,571","353,784,113","-473,610",-15.78%,STE
WCM Investment Management LLC,2.76%,"2,343,587","328,031,872","-360,419",-13.33%,STE
Massachusetts Financial Services ...,2.30%,"1,950,497","273,011,065","+248,912",+14.63%,STE
Geode Capital Management LLC,1.64%,"1,394,232","195,150,653","+449,941",+47.65%,STE
Select Equity Group LP,1.60%,"1,355,058","189,667,468","+1,219,655",+900.76%,STE
"Northern Trust Investments, Inc.(...",1.39%,"1,178,643","164,974,661","+151,962",+14.80%,STE
"T. Rowe Price Associates, Inc. (I...",7.71%,"28,879,208","4,808,099,340","-2,033,332",-6.58%,SYK
"The Vanguard Group, Inc.",7.45%,"27,915,057","4,647,577,840","+250,262",+0.90%,SYK
"Greenleaf Asset Management, Inc.",5.80%,"21,743,475","3,620,071,153","+228,859",+1.06%,SYK
BlackRock Fund Advisors,4.56%,"17,101,251","2,847,187,279","+720,598",+4.40%,SYK
"SSgA Funds Management, Inc.",3.65%,"13,676,289","2,276,965,356","+213,858",+1.59%,SYK
Fidelity Management & Research Co...,2.81%,"10,517,771","1,751,103,694","-1,248,219",-10.61%,SYK
Capital Research & Management Co....,2.54%,"9,515,302","1,584,202,630","-2,568,110",-21.25%,SYK
Fundsmith LLP,1.62%,"6,082,992","1,012,757,338","+137,887",+2.32%,SYK
"Franklin Advisers, Inc.",1.50%,"5,621,830","935,978,477","-46,292",-0.82%,SYK
