Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
"T. Rowe Price Associates, Inc. (I...",8.34%,"10,106,634","1,207,237,431","+3,224,649",+46.86%,EFX
Capital Research & Management Co....,7.79%,"9,438,020","1,127,371,489","-2,017,180",-17.61%,EFX
BlackRock Fund Advisors,4.78%,"5,792,425","691,905,166","+82,234",+1.44%,EFX
Wellington Management Co. LLP,4.50%,"5,455,700","651,683,365","+536,714",+10.91%,EFX
"SSgA Funds Management, Inc.",3.92%,"4,756,475","568,160,939","+55,549",+1.18%,EFX
Lone Pine Capital LLC,2.84%,"3,448,313","411,900,988","+379,566",+12.37%,EFX
Independent Franchise Partners LL...,2.56%,"3,100,143","370,312,081","-691,062",-18.23%,EFX
Capital Research & Management Co....,2.11%,"2,560,338","305,832,374","+319,663",+14.27%,EFX
"The Vanguard Group, Inc.",12.92%,"11,036,826","6,893,270,415","+122,267",+1.12%,EQIX
BlackRock Fund Advisors,5.60%,"4,781,554","2,986,415,182","+213,930",+4.68%,EQIX
Cohen & Steers Capital Management...,4.19%,"3,579,546","2,235,677,045","+104,934",+3.02%,EQIX
"SSgA Funds Management, Inc.",4.08%,"3,488,459","2,178,786,838","+14,683",+0.42%,EQIX
Edgewood Management LLC,3.98%,"3,399,910","2,123,481,789","-279,307",-7.59%,EQIX
Capital Research & Management Co....,3.43%,"2,926,861","1,828,029,575","-70,288",-2.35%,EQIX
Capital Research & Management Co....,2.92%,"2,491,719","1,556,252,936","+3,457",+0.14%,EQIX
Fidelity Management & Research Co...,2.57%,"2,195,785","1,371,421,437","-435,140",-16.54%,EQIX
Principal Global Investors LLC,1.85%,"1,579,099","986,257,862","-61,415",-3.74%,EQIX
Wellington Management Co. LLP,1.60%,"1,364,163","852,015,285","-103,699",-7.06%,EQIX
"The Vanguard Group, Inc.",12.71%,"47,268,105","2,916,914,760","+316,988",+0.68%,EQR
BlackRock Fund Advisors,7.92%,"29,441,141","1,816,812,811","+1,131,456",+4.00%,EQR
"SSgA Funds Management, Inc.",6.44%,"23,959,308","1,478,528,897","-1,830,358",-7.10%,EQR
Norges Bank Investment Management,6.42%,"23,878,408","1,473,536,558","+4,952,157",+26.17%,EQR
"APG Asset Management US, Inc.",3.76%,"13,990,000","863,322,900","-293,000",-2.05%,EQR
"T. Rowe Price Associates, Inc. (I...",3.04%,"11,302,474","697,475,671","-708,636",-5.90%,EQR
Macquarie Investment Management B...,2.90%,"10,774,362","664,885,879","+957,594",+9.75%,EQR
Fidelity Management & Research Co...,2.72%,"10,101,667","623,373,871","-1,163,752",-10.33%,EQR
Cohen & Steers Capital Management...,1.96%,"7,275,261","448,956,356","-4,110,585",-36.10%,EQR
Geode Capital Management LLC,1.87%,"6,954,412","429,156,765","+356,136",+5.40%,EQR
"The Vanguard Group, Inc.",16.34%,"10,815,091","2,381,915,642","+37,621",+0.35%,ESS
BlackRock Fund Advisors,7.81%,"5,166,231","1,137,810,715","+216,151",+4.37%,ESS
"SSgA Funds Management, Inc.",7.63%,"5,046,587","1,111,460,321","-442,204",-8.06%,ESS
Cohen & Steers Capital Management...,6.74%,"4,458,681","981,979,903","-587,785",-11.65%,ESS
Principal Global Investors LLC,3.27%,"2,160,491","475,826,538","+243,451",+12.70%,ESS
Norges Bank Investment Management,2.47%,"1,635,913","360,293,479","+1,053,620",+180.94%,ESS
Daiwa Asset Management Co. Ltd.,2.29%,"1,514,152","333,476,836","-204,472",-11.90%,ESS
